Country;ISO2;Indicator;Unit;F1961;F1962;F1963;F1964;F1965;F1966;F1967;F1968;F1969;F1970;F1971;F1972;F1973;F1974;F1975;F1976;F1977;F1978;F1979;F1980;F1981;F1982;F1983;F1984;F1985;F1986;F1987;F1988;F1989;F1990;F1991;F1992;F1993;F1994;F1995;F1996;F1997;F1998;F1999;F2000;F2001;F2002;F2003;F2004;F2005;F2006;F2007;F2008;F2009;F2010;F2011;F2012;F2013;F2014;F2015;F2016;F2017;F2018;F2019;F2020;F2021;F2022
Denmark;DK;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;539.472;543.488;547.504;551.52;555.536;559.552;563.568;567.584;571.6;573.089;574.578;576.067;577.556;579.045;580.534;582.023;583.512;585.001;586.49;594.128;601.766;609.404;617.042;624.68;624.66;625.6;626.56;627.5;628.44;629.38;630.32
Djibouti;DJ;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.61;5.64;5.7;5.8;5.8733;5.9644
Dominica;DM;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.822;49.578;49.334;49.09;48.846;48.602;48.358;48.114;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87;47.87
Dominican Rep.;DO;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1670.406;1708.164;1745.922;1783.68;1821.438;1859.196;1896.954;1934.712;1972.47;1982.535;1992.6;2002.665;2012.73;2022.795;2032.86;2042.925;2052.99;2063.055;2073.12;2079.226;2085.332;2091.438;2097.544;2103.65;2111.74;2119.83;2127.92;2136.01;2144.1;2152.19;2160.28
Ecuador;EC;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14451.868;14361.697;14271.526;14181.355;14091.184;14001.013;13910.842;13820.671;13730.5;13660.269;13590.038;13519.807;13449.576;13379.345;13309.114;13238.883;13168.652;13098.421;13028.19;12986.388;12944.586;12902.784;12860.982;12819.18;12754.91;12690.64;12626.37;12562.1;12497.83;12433.56;12369.29
Egypt, Arab Rep. of;EG;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.89;48.43;49.97;51.51;53.05;54.59;56.13;57.67;59.21;59.853;60.496;61.139;61.782;62.425;63.068;63.711;64.354;64.997;65.64;62.196;58.752;55.308;51.864;48.42;44.98;44.98;44.98;44.98;44.98;44.98;44.98
El Salvador;SV;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;709.88;705.38;700.88;696.38;691.88;687.38;682.88;678.38;673.88;669.38;664.88;660.38;655.88;651.38;646.88;642.38;637.88;633.38;628.88;624.38;619.88;615.38;610.88;606.38;601.88;597.38;592.88;588.38;583.88;579.38;574.88
Emerging and Developing Economies;;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3218985.8633;3231324.1628;3223406.2222;3215488.2818;3207570.3414;3199652.4008;3191734.4602;3183816.5197;3175898.5792;3170344.6374;3164790.6954;3159236.7537;3153682.8118;3148128.87;3145933.3281;3140424.7862;3134916.2445;3129407.7024;3123899.1606;3118419.8449;3139833.9629;3134184.1592;3128534.3554;3122884.5516;3118584.9167;3111907.2845;3106954.7842;3101737.71;3096673.84;3091507.8337;3086409.9182
Equatorial Guinea, Rep. of;GQ;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2682.436;2674.079;2665.722;2657.365;2649.008;2640.651;2632.294;2623.937;2615.58;2607.223;2598.866;2590.509;2582.152;2573.795;2565.438;2557.081;2548.724;2540.367;2532.01;2523.652;2515.294;2506.936;2498.578;2490.22;2481.86;2473.5;2465.14;2456.78;2448.42;2440.06;2431.7
Eritrea, The State of;ER;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1144.88457028912;1140.58;1137.42;1134.26;1131.1;1127.94;1124.78;1121.62;1118.46;1115.3;1112.14;1108.98;1105.82;1102.66;1099.5;1096.34;1093.18;1090.02;1086.86;1083.7;1080.54;1077.38;1074.22;1071.06;1067.9;1064.74;1061.58;1058.42;1055.26;1052.1;1048.94
Estonia, Rep. of;EE;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2212.498;2215.797;2219.096;2222.395;2225.694;2228.993;2232.292;2235.591;2238.89;2248.603;2258.316;2268.029;2277.742;2287.455;2297.168;2306.881;2316.594;2326.307;2336.02;2353.018;2370.016;2387.014;2404.012;2421.01;2421.25;2438.4;2438.4;2438.4;2438.4;2438.4;2438.4
Eswatini, Kingdom of;SZ;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;463.568;464.782;465.996;467.21;468.424;469.638;470.852;472.066;473.28;474.495;475.71;476.925;478.14;479.355;480.57;481.785;483.0;484.215;485.43;486.644;487.858;489.072;490.286;491.5;492.72;493.93;495.14;496.35;497.56;498.77;499.98
Ethiopia, The Federal Dem. Rep. of;ET;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19111.3554297109;19039.5;18966.5;18893.5;18820.5;18747.5;18674.5;18601.5;18528.5;18455.5;18382.5;18309.5;18236.5;18163.5;18090.5;18017.5;17944.5;17871.5;17798.5;17725.5;17652.5;17579.5;17506.5;17433.5;17360.5;17287.5;17214.5;17141.5;17068.5;16995.5;16922.5
Euro Area;U2;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;990613.5267;995942.6146;996738.4424;997534.2703;998330.0982;999125.926;999921.7539;1000717.5817;1002267.4096;1003438.8048;1004610.2001;1005781.5954;1006952.9907;1008124.3859;1009295.7811;1010467.1764;1011638.5717;1012809.967;1013981.3622;1014346.1779;1014710.9935;1015075.8092;1015440.6248;1015805.4405;1016331.6402;1016788.0909;1017013.45;1017229.16;1017450.87;1017673.7701;1017895.8811
Faroe Islands;FO;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Fiji, Rep. of;FJ;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;953.046;959.724;966.402;973.08;979.758;986.436;993.114;999.792;1006.47;1013.147;1019.824;1026.501;1033.178;1039.855;1046.532;1053.209;1059.886;1066.563;1073.24;1079.916;1086.592;1093.268;1099.944;1106.62;1113.3;1119.98;1126.66;1133.34;1140.02;1146.7;1153.38
Finland;FI;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21989.392;22046.423;22103.454;22160.485;22217.516;22274.547;22331.578;22388.609;22445.64;22425.276;22404.912;22384.548;22364.184;22343.82;22323.456;22303.092;22282.728;22262.364;22242.0;22275.4;22308.8;22342.2;22375.6;22409.0;22409.0;22409.0;22409.0;22409.0;22409.0;22409.0;22409.0
France;FR;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14606.4;14691.6;14776.8;14862.0;14947.2;15032.4;15117.6;15202.8;15288.0;15401.1;15514.2;15627.3;15740.4;15853.5;15966.6;16079.7;16192.8;16305.9;16419.0;16502.4;16585.8;16669.2;16752.6;16836.0;16919.4;17002.8;17086.2;17169.6;17253.0;17336.4;17419.8
French Polynesia;PF;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145.254;145.666;146.078;146.49;146.902;147.314;147.726;148.138;148.55;148.641;148.732;148.823;148.914;149.005;149.096;149.187;149.278;149.369;149.46;149.46;149.46;149.46;149.46;149.46;149.46;149.46;149.46;149.46;149.46;149.46;149.46
G20;;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2834932.2127;2836456.5236;2833447.5744;2830438.6253;2827429.6762;2824420.727;2821411.7779;2818402.8287;2816147.8796;2815505.7899;2814863.7003;2814221.6106;2813579.521;2812937.4313;2812295.3416;2811653.252;2811011.1623;2810369.0727;2809726.983;2810427.743;2811128.503;2811829.263;2812530.023;2813230.783;2815147.1072;2813868.1584;2814384.65;2814690.11;2815077.36;2815415.2768;2815786.0833
G7;;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;819813.5767;825080.0246;825813.2124;826546.4003;827279.5882;828012.776;828745.9639;829479.1517;830966.3396;831937.7579;832909.1763;833880.5946;834852.013;835823.4313;836794.8496;837766.268;838737.6863;839709.1047;840680.523;841257.733;841834.943;842412.153;842989.363;843566.573;843739.5702;843617.3584;843772.18;843918.27;844070.15;844223.3634;844375.6889
Gabon;GA;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23749.296;23743.134;23736.972;23730.81;23724.648;23718.486;23712.324;23706.162;23700.0;23694.941;23689.882;23684.823;23679.764;23674.705;23669.646;23664.587;23659.528;23654.469;23649.41;23637.528;23625.646;23613.764;23601.882;23590.0;23578.12;23566.24;23554.36;23542.48;23530.6;23518.72;23506.84
Gambia, The;GM;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;403.194;397.461;391.728;385.995;380.262;374.529;368.796;363.063;357.33;351.597;345.864;340.131;334.398;328.665;322.932;317.199;311.466;305.733;300.0;294.268;288.536;282.804;277.072;271.34;265.6;259.87;254.14;248.4;242.67;236.9333;231.2011
Georgia;GE;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2753.96;2754.79;2755.62;2756.45;2757.28;2758.11;2758.94;2759.77;2760.6;2766.78;2772.96;2779.14;2785.32;2791.5;2797.68;2803.86;2810.04;2816.22;2822.4;2822.4;2822.4;2822.4;2822.4;2822.4;2822.4;2822.4;2822.4;2822.4;2822.4;2822.4;2822.4
Germany;DE;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11310.8;11316.2;11321.6;11327.0;11332.4;11337.8;11343.2;11348.6;11354.0;11359.5;11365.0;11370.5;11376.0;11381.5;11387.0;11392.5;11398.0;11403.5;11409.0;11411.0;11413.0;11415.0;11417.0;11419.0;11419.0;11419.0;11419.0;11419.0;11419.0;11419.0;11419.0
Ghana;GH;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9709.13;9601.565;9494.0;9386.435;9278.87;9171.305;9063.74;8956.175;8848.61;8758.042;8667.474;8576.906;8486.338;8395.77;8305.202;8214.634;8124.066;8033.498;7942.93;7930.432;7917.934;7905.436;7892.938;7880.44;7922.24;7964.04;7971.26;7978.48;7985.71;7992.9333;8000.1611
Greece;GR;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3358.8867;3389.0546;3419.2224;3449.3903;3479.5582;3509.726;3539.8939;3570.0617;3600.2296;3630.3869;3660.5443;3690.7016;3720.859;3751.0163;3781.1736;3811.331;3841.4883;3871.6457;3901.803;3901.803;3901.803;3901.803;3901.803;3901.803;3901.8;3901.8;3901.8;3901.8;3901.8;3901.8;3901.8
Greenland;GL;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22
Grenada;GD;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7;17.7
Guadeloupe;GP;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74.4;74.31;74.22;74.13;74.04;73.95;73.86;73.77;73.68;73.608;73.536;73.464;73.392;73.32;73.248;73.176;73.104;73.032;72.96;71.684;71.818;71.952;72.086;72.22;72.16;72.0996;72.04;71.98;71.92;71.86;71.8
Guam;GU;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.2;24.4;24.6;24.8;25.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0
Guatemala;GT;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4666.8;4609.6;4552.4;4495.2;4438.0;4380.8;4323.6;4266.4;4209.2;4160.54;4111.88;4063.22;4014.56;3965.9;3917.24;3868.58;3819.92;3771.26;3722.6;3695.24;3667.88;3640.52;3613.16;3585.8;3574.2;3562.6;3551.0;3539.4;3527.8;3516.2;3504.6
Guiana, French;GF;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8115.888;8111.332;8106.776;8102.22;8097.664;8093.108;8088.552;8083.996;8079.44;8075.146;8070.852;8066.558;8062.264;8057.97;8053.676;8049.382;8045.088;8040.794;8036.5;8033.2;8029.9;8026.6;8023.3;8020.0;8016.57;8013.14;8009.71;8006.28;8002.85;7999.42;7995.99
Guinea;GN;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7206.6;7171.9;7137.2;7102.5;7067.8;7033.1;6998.4;6963.7;6929.0;6893.0;6857.0;6821.0;6785.0;6749.0;6713.0;6677.0;6641.0;6605.0;6569.0;6533.0;6497.0;6461.0;6425.0;6389.0;6349.0;6309.0;6269.0;6229.0;6189.0;6149.0;6109.0
Guinea-Bissau;GW;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2216.44;2207.995;2199.55;2191.105;2182.66;2174.215;2165.77;2157.325;2148.88;2140.435;2131.99;2123.545;2115.1;2106.655;2098.21;2089.765;2081.32;2072.875;2064.43;2055.986;2047.542;2039.098;2030.654;2022.21;2013.77;2005.33;1996.89;1988.45;1980.01;1971.57;1963.13
Guyana;GY;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18594.564;18590.771;18586.978;18583.185;18579.392;18575.599;18571.806;18568.013;18564.22;18559.779;18555.338;18550.897;18546.456;18542.015;18537.574;18533.133;18528.692;18524.251;18519.81;18508.12;18496.43;18484.74;18473.05;18461.36;18452.16;18442.95;18433.75;18424.54;18415.34;18406.1333;18396.9311
Haiti;HT;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;382.466;382.239;382.012;381.785;381.558;381.331;381.104;380.877;380.65;380.423;380.196;379.969;379.742;379.515;379.288;379.061;378.834;378.607;378.38;375.274;372.168;369.062;365.956;362.85;359.74;356.63;353.52;350.41;347.3;344.19;341.08
Honduras;HN;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6945.878;6924.927;6903.976;6883.025;6862.074;6841.123;6820.172;6799.221;6778.27;6757.99;6737.71;6717.43;6697.15;6676.87;6656.59;6636.31;6616.03;6595.75;6575.47;6553.142;6530.814;6508.486;6486.158;6463.83;6443.05;6422.11;6401.16;6380.21;6359.26;6338.31;6317.36
Hungary;HU;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1835.354;1846.081;1856.808;1867.535;1878.262;1888.989;1899.716;1910.443;1921.17;1933.692;1946.214;1958.736;1971.258;1983.78;1996.302;2008.824;2021.346;2033.868;2046.39;2049.276;2052.162;2055.048;2057.934;2060.82;2058.73;2057.27;2055.92;2054.47;2053.01;2051.5567;2050.0989
Iceland;IS;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.622;20.898;22.174;23.45;24.726;26.002;27.278;28.554;29.83;31.314;32.798;34.282;35.766;37.25;38.734;40.218;41.702;43.186;44.67;45.368;46.066;46.764;47.462;48.16;48.66;49.38;50.04;50.69;51.35;52.0;52.66
India;IN;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64668.6;65033.9;65399.2;65764.5;66129.8;66495.1;66860.4;67225.7;67591.0;67781.5;67972.0;68162.5;68353.0;68543.5;68734.0;68924.5;69115.0;69305.5;69496.0;69762.4;70028.8;70295.2;70561.6;70828.0;71094.4;71360.8;71627.2;71893.6;72160.0;72426.4;72692.8
Indonesia;ID;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115092.0;113365.5;111639.0;109912.5;108186.0;106459.5;104733.0;103006.5;101280.0;101117.92;100955.84;100793.76;100631.68;100469.6;100307.52;100145.44;99983.36;99821.28;99659.2;98732.94;97806.68;96880.42;95954.16;95027.9;95271.8;93949.8;93344.27;92738.73;92133.2;91527.6633;90922.1311
Iran, Islamic Rep. of;IR;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9125.98;9150.94;9175.9;9200.86;9225.82;9250.78;9275.74;9300.7;9325.66;9462.292;9598.924;9735.556;9872.188;10008.82;10145.452;10282.084;10418.716;10555.348;10691.98;10691.98;10691.98;10691.98;10691.98;10691.98;10702.08;10710.59;10727.03;10743.47;10751.87;10765.63;10775.8167
Iraq;IQ;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;806.8;808.2;809.6;811.0;812.4;813.8;815.2;816.6;818.0;818.7;819.4;820.1;820.8;821.5;822.2;822.9;823.6;824.3;825.0;825.0;825.0;825.0;825.0;825.0;825.0;825.0;825.0;825.0;825.0;825.0;825.0
Ireland;IE;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;495.384;512.256;529.128;546.0;562.872;579.744;596.616;613.488;630.36;639.362;648.364;657.366;666.368;675.37;684.372;693.374;702.376;711.378;720.38;727.238;734.096;740.954;747.812;754.67;762.35;770.02;774.02;778.02;782.02;786.02;790.02
Isle of Man;IM;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46
Israel;IL;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;136.2;138.3;140.4;142.5;144.6;146.7;148.8;150.9;153.0;153.1;153.2;153.3;153.4;153.5;153.6;153.7;153.8;153.9;154.0;156.2;158.4;160.6;162.8;165.0;140.0;140.0;140.0;140.0;140.0;140.0;140.0
Italy;IT;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7745.65;7823.6;7901.55;7979.5;8057.45;8135.4;8213.35;8291.3;8369.25;8435.129;8501.008;8566.887;8632.766;8698.645;8764.524;8830.403;8896.282;8962.161;9028.04;9081.848;9135.656;9189.464;9243.272;9297.08;9350.89;9404.7;9458.51;9512.32;9566.13;9619.94;9673.75
Jamaica;JM;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;521.224;521.196;521.168;521.14;521.112;521.084;521.056;521.028;521.0;524.745;528.49;532.235;535.98;539.725;543.47;547.215;550.96;554.705;558.45;562.252;566.054;569.856;573.658;577.46;581.34;585.23;589.12;593.0;596.89;600.7733;604.6611
Japan;JP;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24935.2;24927.8;24920.4;24913.0;24905.6;24898.2;24890.8;24883.4;24876.0;24885.0;24894.0;24903.0;24912.0;24921.0;24930.0;24939.0;24948.0;24957.0;24966.0;24961.6;24957.2;24952.8;24948.4;24944.0;24940.0;24935.0;24935.0;24935.0;24935.0;24935.0;24935.0
Jordan;JO;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5;97.5
Kazakhstan, Rep. of;KZ;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3161.181;3160.6491;3160.1172;3159.5853;3159.0534;3158.5215;3157.9896;3157.4577;3156.9258;3149.4512;3141.9765;3134.5019;3127.0273;3119.5527;3112.078;3104.6034;3097.1288;3089.6541;3082.1795;3127.4349;3172.6902;3217.9455;3263.2009;3308.4562;3337.71;3366.96;3396.2012;3425.44;3454.68;3483.9192;3513.1589
Kenya;KE;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3879.07;3889.335;3899.6;3909.865;3920.13;3930.395;3940.66;3950.925;3961.19;3926.705;3892.22;3857.735;3823.25;3788.765;3754.28;3719.795;3685.31;3650.825;3616.34;3597.554;3578.768;3559.982;3541.196;3522.41;3551.97;3581.53;3611.09;3611.09;3611.09;3611.09;3611.09
Kiribati;KI;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18;1.18
Korea, Dem. People's Rep. of;KP;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6820.562;6774.828;6729.094;6683.36;6637.626;6591.892;6546.158;6500.424;6454.69;6433.46;6412.23;6391.0;6369.77;6348.54;6327.31;6306.08;6284.85;6263.62;6242.39;6221.16;6199.93;6178.7;6157.47;6136.24;6115.01;6093.78;6072.55;6051.32;6030.09;6008.86;5987.63
Korea, Rep. of;KR;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6536.0;6528.5;6521.0;6513.5;6506.0;6498.5;6491.0;6483.5;6476.0;6467.1;6458.2;6449.3;6440.4;6431.5;6422.6;6413.7;6404.8;6395.9;6387.0;6377.0;6367.0;6357.0;6347.0;6337.0;6325.0;6317.0;6307.0;6297.0;6287.0;6277.0;6267.0
Kuwait;KW;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.73;3.87;4.01;4.15;4.29;4.43;4.57;4.71;4.85;4.99;5.13;5.27;5.41;5.55;5.69;5.83;5.97;6.11;6.25;6.25;6.25;6.25;6.25;6.25;6.25;6.25;6.25;6.25;6.25;6.25;6.25
Kyrgyz Rep.;KG;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1145.318;1149.7658;1154.2135;1158.6613;1163.109;1167.5567;1172.0045;1176.4523;1180.9;1185.778;1190.656;1195.534;1200.412;1205.29;1210.168;1215.046;1219.924;1224.802;1229.68;1234.106;1238.532;1242.958;1247.384;1251.81;1256.24;1260.6642;1278.9;1297.14;1315.38;1333.62;1351.86
Lao People's Dem. Rep.;LA;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17759.4;17717.6;17675.8;17634.0;17592.2;17550.4;17508.6;17466.8;17425.0;17376.55;17328.1;17279.65;17231.2;17182.75;17134.3;17085.85;17037.4;16988.95;16940.5;16906.0;16871.5;16837.0;16802.5;16768.0;16733.5;16699.0;16664.5;16630.0;16595.5;16561.0;16526.5
Latvia;LV;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3186.6;3193.4;3200.2;3207.0;3213.8;3220.6;3227.4;3234.2;3241.0;3254.112;3267.224;3280.336;3293.448;3306.56;3319.672;3332.784;3345.896;3359.008;3372.12;3375.984;3379.848;3383.712;3387.576;3391.44;3395.31;3399.18;3403.05;3406.92;3410.79;3414.66;3418.53
Lebanon;LB;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;139.396;139.244;139.092;138.94;138.788;138.636;138.484;138.332;138.18;138.097;138.014;137.931;137.848;137.765;137.682;137.599;137.516;137.433;137.35;137.946;138.542;139.138;139.734;140.33;140.93;141.53;142.13;142.73;143.33;143.93;144.53
Lesotho, Kingdom of;LS;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52;34.52
Liberia;LR;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8464.72;8434.46;8404.2;8373.94;8343.68;8313.42;8283.16;8252.9;8222.64;8192.38;8162.12;8131.86;8101.6;8071.34;8041.08;8010.82;7980.56;7950.3;7920.04;7889.78;7859.52;7829.26;7799.0;7768.74;7738.48;7708.22;7677.96;7647.7;7617.44;7587.18;7556.92
Libya;LY;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0;217.0
Liechtenstein;LI;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.54;6.56;6.58;6.6;6.62;6.64;6.66;6.68;6.7;6.6999;6.6998;6.6998;6.6997;6.6996;6.6995;6.6994;6.6994;6.6993;6.6992;6.6994;6.6995;6.6997;6.6998;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7
Lithuania;LT;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1960.0;1967.5;1975.0;1982.5;1990.0;1997.5;2005.0;2012.5;2020.0;2035.0;2050.0;2065.0;2080.0;2095.0;2110.0;2125.0;2140.0;2155.0;2170.0;2173.4;2176.8;2180.2;2183.6;2187.0;2190.0;2196.0;2198.0;2200.0;2201.0;2202.6667;2203.8889
Luxembourg;LU;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.5463023872679;87.4405145888594;87.3347267904509;87.2289389920424;87.1231511936339;87.0173633952255;86.911575596817;86.8057877984085;86.7;86.9;87.1;87.3;87.5;87.7;87.9;88.1;88.3;88.5;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7
Madagascar, Rep. of;MG;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13560.894;13494.616;13428.338;13362.06;13295.782;13229.504;13163.226;13096.948;13030.67;12983.801;12936.932;12890.063;12843.194;12796.325;12749.456;12702.587;12655.718;12608.849;12561.98;12548.762;12535.544;12522.326;12509.108;12495.89;12482.68;12469.46;12456.24;12443.03;12429.81;12416.5967;12403.3789
Malawi;MW;Forest area;1000 HA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3417.7;3375.7;3333.7;3291.7;3249.7;3207.7;3165.7;3123.7;3081.7;3039.7;2997.7;2955.7;2913.7;2871.7;2829.7;2787.7;2745.7;2703.7;2661.7;2619.7;2577.7;2535.7;2493.7;2451.7;2409.7;2367.7;2325.7;2283.7;2241.7;2199.7;2157.7
